city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
黑河,Hei_he,黑龙江省,Heilongjiang,127.53549,50.251272,29.233,50.977,21.625,17.646,76.499,84.282,50.477
绥化,Sui_hua,黑龙江省,Heilongjiang,126.975357,46.660032,36.772,60.467,27.092,30.066,80.663,93.859,57.95
大兴安岭地区,Da_xing_an_ling_di_qu,黑龙江省,Heilongjiang,123.644559,52.510947,22.511,43.527,27.171,12.05,60.103,65.897,43.361
蚌埠,Beng_bu,安徽省,Anhui,117.395513,32.921524,63.865,91.216,26.282,34.308,90.003,107.706,88.206
淮南,Huai_nan,安徽省,Anhui,117.006389,32.631847,51.308,87.092,22.522,28.478,75.916,87.297,79.632
淮北,Huai_bei,安徽省,Anhui,116.804537,33.961656,58.703,92.346,28.392,36.686,104.519,117.161,85.796
铜陵,Tong_ling,安徽省,Anhui,117.818477,30.951233,57.793,89.228,41.078,35.591,70.452,87.625,83.093
安庆,An_qing,安徽省,Anhui,117.063604,30.530957,54.32,75.401,22.539,27.81,71.424,96.228,76.364
黄山,Huang_shan,安徽省,Anhui,118.345437,29.72189,34.882,48.424,8.669,14.017,51.571,66.87,51.501
滁州,Chu_zhou,安徽省,Anhui,118.339406,32.261271,61.703,91.893,14.98,28.383,39.176,45.7,86.57
阜阳,Fu_yang,安徽省,Anhui,115.820436,32.896061,52.078,72.882,29.009,35.406,79.135,92.337,73.969
宿州,Su_zhou,安徽省,Anhui,116.970544,33.652095,63.792,89.36,35.233,24.834,66.869,105.825,89.974
六安,Lu_an,安徽省,Anhui,116.52641,31.741451,56.697,89.458,13.228,19.66,61.977,74.219,80.045
亳州,Bo_zhou,安徽省,Anhui,115.784463,33.850643,61.404,89.122,37.131,37.985,81.794,103.776,86.682
池州,Chi_zhou,安徽省,Anhui,117.498421,30.670884,32.487,54.759,19.046,24.841,70.257,81.023,52.924
宣城,Xuan_cheng,安徽省,Anhui,118.765534,30.946602,48.009,75.723,23.844,32.406,77.357,94.72,73.7
莆田,Pu_tian,福建省,Fujian,119.014521,25.459865,30.865,50.046,6.539,21.545,82.971,96.205,49.332
三明,San_ming,福建省,Fujian,117.645521,26.269737,29.625,53.343,20.205,27.729,52.176,64.96,49.969
南平,Nan_ping,福建省,Fujian,118.0595,27.292158,28.605,44.64,16.455,14.496,69.746,82.81,46.35
龙岩,Long_yan,福建省,Fujian,117.023448,25.08122,25.994,44.882,12.081,25.207,75.859,88.582,43.532
宁德,Ning_de,福建省,Fujian,119.554511,26.672242,28.916,47.814,5.756,23.491,77.604,90.497,47.834
景德镇,Jing_de_zhen,江西省,Jiangxi,117.184576,29.274248,44.576,70.963,10.81,20.772,61.308,73.476,64.977
萍乡,Ping_xiang,江西省,Jiangxi,113.861496,27.628393,59.354,92.383,29.85,21.516,63.539,73.983,83.008
新余,Xin_yu,江西省,Jiangxi,114.923535,27.823579,39.199,71.349,31.032,26.484,52.222,61.513,61.572
鹰潭,Ying_tan,江西省,Jiangxi,117.075575,28.265787,41.118,66.689,34.084,24.435,85.481,98.718,62.698
赣州,Gan_zhou,江西省,Jiangxi,114.940503,25.835176,41.64,59.643,29.764,22.207,77.193,88.389,59.516
吉安,Ji_an,江西省,Jiangxi,115.000511,27.119727,42.352,59.138,25.646,21.493,68.159,78.7,59.659
宜春,Yi_chun,江西省,Jiangxi,114.423564,27.820856,40.735,59.821,24.818,23.928,65.055,77.862,57.872
抚州,Fu_zhou,江西省,Jiangxi,116.364539,27.954892,40.865,61.447,19.3,20.017,85.052,96.467,59.489
上饶,Shang_rao,江西省,Jiangxi,117.94946,28.460626,43.813,65.562,44.519,27.239,81.801,95.184,62.949
鹤壁,He_bi,河南省,Henan,114.303594,35.752357,70.386,124.02,44.014,49.522,87.51,102.548,103.131
新乡,Xin_xiang,河南省,Henan,113.9336,35.30964,93.429,159.193,48.677,51.196,86.476,105.017,127.445
濮阳,Pu_yang,河南省,Henan,115.035597,35.767593,80.856,136.176,30.403,39.424,95.297,109.591,115.283
许昌,Xu_chang,河南省,Henan,113.858476,34.041432,80.476,134.552,31.608,46.634,94.922,107.13,115.453
漯河,Ta_he,河南省,Henan,114.023421,33.587711,79.83,132.412,34.084,35.582,109.513,124.663,113.095
南阳,Nan_yang,河南省,Henan,112.534501,32.996562,73.251,136.427,26.037,27.438,94.628,113.568,106.941
商丘,Shang_qiu,河南省,Henan,115.662449,34.420202,74.669,122.311,30.104,33.994,99.254,113.974,105.588
驻马店,Zhu_ma_dian,河南省,Henan,114.028471,33.017842,73.617,125.236,42.522,34.138,100.605,113.83,105.614
黄石,Huang_shi,湖北省,Hubei,115.045533,30.205208,67.501,101.879,20.905,32.522,82.573,97.971,92.983
十堰,Shi_yan,湖北省,Hubei,110.80453,32.635062,55.401,89.899,29.202,28.988,73.259,84.225,80.786
襄阳,Xiang_yang,湖北省,Hubei,112.128537,32.014797,76.452,109.624,19.447,34.072,94.337,108.28,107.255
鄂州,E_zhou,湖北省,Hubei,114.901607,30.396572,68.037,105.121,23.401,31.277,99.383,123.02,94.781
荆门,Jing_men,湖北省,Hubei,112.206393,31.041733,72.988,114.45,24.326,32.507,87.795,102.545,103.098
孝感,Xiao_gan,湖北省,Hubei,113.92251,30.930689,71.497,110.451,13.681,22.757,93.621,108.581,98.625
黄冈,Huang_gang,湖北省,Hubei,114.87849,30.459359,58.503,86.431,14.786,27.46,114.471,130.679,83.897
咸宁,Xian_ning,湖北省,Hubei,114.328519,29.847056,55.029,89.951,13.977,22.49,101.424,122.182,80.035
随州,Sui_zhou,湖北省,Hubei,113.38945,31.696517,65.726,102.233,15.749,24.954,93.939,111.902,91.911
恩施州,En_shi,湖北省,Hubei,109.494593,30.27794,53.548,77.037,13.297,19.412,64.841,77.588,75.072
衡阳,Heng_yang,湖南省,Hunan,112.578447,26.899576,54.769,85.236,18.343,30.075,79.536,96.366,78.367
邵阳,Shao_yang,湖南省,Hunan,111.474433,27.24527,58.718,86.844,37.141,22.573,82.856,96.66,81.787
益阳,Yi_yang,湖南省,Hunan,112.361516,28.559711,49.196,89.343,31.859,25.83,99.524,111.478,76.276
郴州,Chen_zhou,湖南省,Hunan,113.02146,25.776683,45.824,77.352,20.164,26.432,71.349,83.971,68.792
永州,Yong_zhou,湖南省,Hunan,111.619455,26.425864,52.697,73.689,33.078,29.879,79.294,89.432,73.854
怀化,Huai_hua,湖南省,Hunan,110.008514,27.575161,51.046,94.026,25.916,18.876,82.444,95.035,78.253
娄底,Lou_di,湖南省,Hunan,112.001503,27.703209,55.326,90.014,32.876,25.718,85.34,95.037,80.254
湘西州,Xiang_xi,湖南省,Hunan,109.745577,28.317369,48.066,73.219,15.383,20.297,65.533,78.326,69.033
梧州,Wu_zhou,广西壮族自治区,Guangxi,111.285517,23.482745,36.112,59.19,17.116,21.487,76.809,93.119,54.79
防城港,Fang_cheng_gang,广西壮族自治区,Guangxi,108.360419,21.693005,30.818,50.611,5.85,12.346,61.066,67.968,48.936
钦州,Qin_zhou,广西壮族自治区,Guangxi,108.66058,21.986594,35.79,58.461,17.441,19.403,78.744,88.046,55.905
贵港,Gui_gang,广西壮族自治区,Guangxi,109.60552,23.117448,41.862,64.81,22.205,20.473,79.239,90.919,61.487
玉林,Yu_lin,广西壮族自治区,Guangxi,110.188453,22.659831,40.089,58.107,31.686,22.988,78.66,91.568,58.902
百色,Bai_se,广西壮族自治区,Guangxi,106.624589,23.908186,43.535,68.225,16.419,17.514,72.26,86.422,64.099
贺州,He_zhou,广西壮族自治区,Guangxi,111.573526,24.409451,39.859,60.389,16.254,15.187,61.703,71.66,59.035
河池,He_chi,广西壮族自治区,Guangxi,108.0915,24.698912,46.139,69.908,24.592,22.39,71.477,84.671,66.689
来宾,Lai_bin,广西壮族自治区,Guangxi,109.227458,23.756547,43.185,62.957,21.095,24.136,71.624,81.428,62.492
崇左,Chong_zuo,广西壮族自治区,Guangxi,107.37152,22.383117,38.164,56.568,10.628,17.96,90.718,101.075,58.008
广元,Guang_yuan,四川省,Sichuan,105.850423,32.441616,22.813,57.17,22.38,33.323,86.669,99.389,51.476
遂宁,Sui_ning,四川省,Sichuan,105.599422,30.539098,47.859,85.297,12.68,24.98,95.447,111.452,72.593
内江,Nei_jiang,四川省,Sichuan,105.064588,29.585887,60.311,84.052,24.014,28.617,93.582,111.006,84.133
乐山,Le_shan,四川省,Sichuan,103.772538,29.557941,56.513,80.781,20.85,34.112,81.438,103.179,78.387
眉山,Mei_shan,四川省,Sichuan,103.856563,30.082526,64.64,96.357,17.98,32.795,96.833,116.853,90.211
广安,Guang_an,四川省,Sichuan,106.639553,30.461746,48.974,87.807,21.187,24.274,92.888,106.879,76.508
达州,Da_zhou,四川省,Sichuan,107.474594,31.214308,65.346,93.666,11.882,40.432,61.323,75.899,87.963
雅安,Ya_an,四川省,Sichuan,103.049543,30.016793,36.461,67.354,12.686,26.965,49.34,60.66,56.449
巴中,Ba_zhong,四川省,Sichuan,106.751585,31.872889,36.496,61.752,7.104,29.444,73.398,87.268,56.501
资阳,Zi_yang,四川省,Sichuan,104.634435,30.134957,42.573,82.536,29.761,19.997,102.47,118.346,71.069
阿坝州,A_ba,四川省,Sichuan,102.231415,31.905512,19.331,32.751,8.796,10.447,67.55,81.925,35.404
